tweet,num
"@baddysdaddy2 @addictedwpain It wasn't all that nice bestie iga. My physics teacher does not preach kindness and i… https://t.co/sm9ec2TDqh",
"pagi pagi i dah rasa sad :(",
"@falke_sebastian * Tears run down Chesters eyes * Chester :This is a sad moment in the world of Pokemon * Chester s… https://t.co/FR60WBCWgD",
"@torturedlilith sad dog looking out window for buddy to come home :)",
"If my mom thought something was wrong with me this morning she’s definitely gonna be worried as I blast @snydaho wi… https://t.co/1KpSSExxi4",
"communism sucks lol i hate marx. hooting and hollering as i bring capitalism back  -From The Collected works of Deng Xiaoping",
"@EricDJuly We are utterly sad :( Especially given that the ASTM Mask Standards are JUST released and @POTUS is stro… https://t.co/4iAqOi01oS",
"Burr is the first cast member on #TheMandalorian to publicly address Gina Carano's firing. The comedian called his… https://t.co/9QcwBm9Fcr",
"@SenaTodorovic @LjiljanaIc Kažu ovi ispred zadruge da su Ugari kako bi upropastili srpsko slikarstvo samim tim i… https://t.co/C9K9avcQQI",
"A waffle on a stick looks really sad tbh. 🙁",
"@StevenDelDuca We see what the federal liberals have done no vaccine what are we # 52 in the world. Very sad liberal leadershit",
"Yo. This is my first time traveling post COVID and I have to say airports these days are ominous and kinda sad 😔",
"All I’ve learnt is that black women need to date black women.  #GiveWhiteMenAChance",
"@Ksenija76o Tadić sedeo u sred Baščaršije. Al jbg.nama nije valjao takav! Evo nam ga ovaj sad ovakav. Za nas takve nilakve baš taman.",
"shit's sad",
"The FBI has become useless at the top. They only investigate what pleases the Democrats or helps them. Those under… https://t.co/fbOT7J8emp",
"@Harrell58Maggie That’s sad. There are no safe spaces in your community?",
"We came from humble families old house local town with sad stories we are hustling not to impress or be in a comp… https://t.co/i83kzeH46Z",
"im sad",
"@_MohammadYassin @Exdroit @Flakkeay @Yussiwnl @VitusRamsing Sheeshh den sad",
"@Mistus_Zeraken It’s ok to feel sad I hope you feel better https://t.co/nZtwKl2l8d",
"I have two: “sad boi hours” and “repeat but sadder” (a playlist of my favorite sad songs on repeat) https://t.co/i7RPXQmhGr",
"@cruisewithamber It makes me want to cry so sad #CruiseHour",
"SAD HOMOSEXUAL LMFOAOAO https://t.co/oJlP3NXqTU",
"@Jayyymiee_ WHY SAD? HAPPY!",
"@itsAccFiffyLem Brother is down bad. That’s sad https://t.co/ICSeuTLexY",
"y’all ever get sad about missing childhood? i miss playing baseball in my parents yard w all of my cousins and niec… https://t.co/wlD22zL7Ep",
"Aduana midfielder arrested   @AduanaStarsFc midfielder Farouk Adams has been arrested by police after knocking down… https://t.co/SAJQkpbp1y",
"@MrssMorningstar idk this is a happy or sad month because if we get the release date will be happy but they will fi… https://t.co/pBZkCx39sB",
"I’m starting to wonder why people like me more on parody accounts it’s kinda sad that someone would like you as someone else :(",
"I can’t even watch this without feeling sad man https://t.co/ncX3wiiKBm",
"Whomever enters our Masterchef please watch Junior Mastercnef Australia first. You'll learn so much from these lit… https://t.co/hDMGnEjU5M",
"I was feeling down and a bit sad so managed to go to the shops and bought this orange flavoured chocolate https://t.co/nY3ScjbgbU",
"I think it’s kinda sad that there isn’t more conversation around self care for men.",
"Shit like this makes me sad . Of course this is beautiful but because it's not the IG influencer body people feel t… https://t.co/t3ygTvLgVc",
"Ever get sad when you know a game is ending? #TheLastCampfire #XboxShare https://t.co/jeztG8oc6Z",
"Sad feeling ،",
"@birdmanbirdplan My spouse told me when I get sad about my work  to LOOK back at how far I've come and how much I'v… https://t.co/AkdwlqwUiy",
"@paskvan_sandra I što sad nakon svih ovih godina i nakon te jadne predstave za javnost sve je izglednije da će doti… https://t.co/3ePdGfCudH",
"#TBZ @Zour_123 @_tnr1 @Bszrih @2_Z_B @jam_68f @YPS26 @Khani_6 @1fttr @sh_kh98 @__Arxi @_Arsh1 @Baithak10 @HasaanJa… https://t.co/NDfhr6cp5y",
"The sad thing is most parents will eagerly fill this out without a second look of course we want our kids to atten… https://t.co/rRgfFAfxs9",
"Every 15 minutes a person of color in South Dakota is belittled by people trying to contact them about their vehicl… https://t.co/QzefEaCN1Q",
"// the fact that my parents aren’t home is so sad i literally. want sour candy SO bad 👊👊",
"#TBZ @Zour_123 @_tnr1 @Bszrih @2_Z_B @jam_68f @YPS26 @Khani_6 @1fttr @sh_kh98 @__Arxi @_Arsh1 @Baithak10 @HasaanJa… https://t.co/5YxbnkHmt5",
"@danielacer181 @JanTiman2 Toliko ih je doneo da je sad igleda jedna za sto 🤪",
"After covering Notre Dame football/recruiting for three seasons I am no longer working for the South Bend Tribune.… https://t.co/9SPCgRtKXl",
"He landed a deal with a club in USA and has got his visa and all but he wanted to play for the club for a while sin… https://t.co/41aRFFNHg4",
"“Hope world isnt a happy song it is a hopeful song”.🤡🤣🤣🤣 Yes Hope is sooo sad also this sweetie thinks only their… https://t.co/3QiXJkV49z",
"@innerchilding7 @stillinabyss Hangsang can be passed as happy song but the rest not really. Hope world isn't a happ… https://t.co/jw7tImfdg8",
"@LukeJohnsonRCP @allisonpearson 😂 Going to be an awful lot of very sad brit nats come May. She’s going nowhere https://t.co/XOkM6WmFfz",
"@The305MVP ❤️  https://t.co/O8kHETmLTF",
"Biden can’t even perform a State of the Union speech in his current cognitive condition. Sad",
"Problem Evadney - @masterchefau is simply head and shoulders above @MasterChefUK🤷🏼‍♂️  Prog needs reworking🤔   Sad… https://t.co/Esdr6ItM08",
"@sarah13ns @luka_burner @soakupthesun121 @GregAbbott_TX If you show your boobs you might get more responses just sad to see",
"I will be looking for the spike in the numbers in the weeks to come. The numbers will start to climb by the end of… https://t.co/Slx5hoQiz6",
"Qué palta que el Curwen sea morado. Tanto análisis político y tanto aliado feminista para que termine respaldando… https://t.co/AoRneL0vqF",
"@tacogs If I consume you then we couldn't co-habitate..... you'd be gone! That would be sad  :(",
"Americans won’t trust the FBI or DOJ for a hundred years. https://t.co/oyFfx5mwPZ",
"@jamescdwyer It’s true but sad",
"sad. sad. sad. no. sad.",
"@hazalotus Her zamanki halimiz sad:\",
"NEW: Texas Governor Abbott ends statewide mask mandate",
